"item_id","flow","step","title","schedule","status","source_url"
"bundle-new-car-comparison-s1-i1","신차 구매 8단계","1. 예산과 차량 선택","총예산과 월 납입 가능액 정하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s1-i2","신차 구매 8단계","1. 예산과 차량 선택","차종·트림·옵션 후보 좁히기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s2-i1","신차 구매 8단계","2. 구매 방식 선택","현금·할부·리스·장기렌트 비교하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s3-i1","신차 구매 8단계","3. 견적과 할인 협상","여러 판매처 견적 비교하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s3-i2","신차 구매 8단계","3. 견적과 할인 협상","할인과 서비스 조건 확정하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s4-i1","신차 구매 8단계","4. 계약","계약서 차량 사양과 금액 확인하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s4-i2","신차 구매 8단계","4. 계약","계약금 납부하고 서류 보관하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s5-i1","신차 구매 8단계","5. 출고와 검수","차대번호와 출고 정보 확인하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s5-i2","신차 구매 8단계","5. 출고와 검수","외관·내장·기능 검수하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s6-i1","신차 구매 8단계","6. 등록","등록 서류와 비용 확인하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s6-i2","신차 구매 8단계","6. 등록","차량 등록과 번호판 발급 마치기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s7-i1","신차 구매 8단계","7. 보험","자동차보험 조건 비교하고 가입하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s8-i1","신차 구매 8단계","8. 출고 후 관리","차량 문서와 보증 조건 보관하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
"bundle-new-car-comparison-s8-i2","신차 구매 8단계","8. 출고 후 관리","초기 점검과 소모품 일정 확인하기","null","not_started","https://web.getcha.kr/blog/complete-guide-new-car-purchase-procedure-for-beginners"
